id;name;category;status;area_m2;registry_id;wave;geometry_type
10002199;Бескудниковский переулок;4 категория;Утвержден;7150.8;132062282200001;1;Polygon
10002485;Проезд от Бескудниковского бульвара до Дубнинской улицы у школы №183;4 категория;Утвержден;2710.71;132070827200001;1;Polygon
10002487;Проезд от Бескудниковского бульвара до проезда у торгового центра;4 категория;Утвержден;1894.76;132070828200001;1;Polygon
12345393;ТПУ Балтийская Жилищник Войковский;9 категория;Утвержден;23403.5;130692736300001;1;Polygon
12345393;ТПУ Балтийская Жилищник Войковский;9 категория;Утвержден;23403.5;130692736300001;1;Polygon
12345393;ТПУ Балтийская Жилищник Войковский;9 категория;Утвержден;23403.5;130692736300001;1;Polygon
12345393;ТПУ Балтийская Жилищник Войковский;9 категория;Утвержден;23403.5;130692736300001;1;Polygon
12345393;ТПУ Балтийская Жилищник Войковский;9 категория;Утвержден;23403.5;130692736300001;1;Polygon
12345393;ТПУ Балтийская Жилищник Войковский;9 категория;Утвержден;23403.5;130692736300001;1;Polygon
10002592;Старопетровский проезд;4 категория;Утвержден;30519.64;131527340700001;1;Polygon
10002227;Улица Космонавта Волкова;3 категория;Утвержден;30169.21;130692718100001;1;Polygon
10002221;1-й Войковский проезд;4 категория;Утвержден;12554.88;130692721900001;1;Polygon
10002225;5-й Войковский проезд;4 категория;Утвержден;15367.91;130692726100001;1;Polygon
10002256;Дубнинская улица;3 категория;Утвержден;127126.28;127845458100001;1;Polygon
10002256;Дубнинская улица;3 категория;Утвержден;127126.28;127845458100001;1;Polygon
10002256;Дубнинская улица;3 категория;Утвержден;127126.28;127845458100001;1;Polygon
753906080;Керамический проезд;4 категория;Утвержден;59916.74;132953747400001;1;Polygon
10002554;Улица Зарянова;4 категория;Утвержден;14941.67;132074562700001;1;Polygon
10002242;Дегунинский проезд;4 категория;Утвержден;19271.9;132072106300001;1;Polygon
10002414;Транспортно-пересадочный узел (ТПУ) у станции метро «Водный стадион» (Площадь у станции метро «Водный стадион»);3 категория;Утвержден;9577.26;125325147200001;1;Polygon
314890525;ТПУ «Моссельмаш» (Головинский район);4 категория;Утвержден;4599.92;132074857700001;1;Polygon
10002501;Проезд от Коровинского шоссе и разворотный круг у ТЭЦ-21;4 категория;Утвержден;18468.49;132074859100001;1;Polygon
10002300;Автобусный круг у пл. «Ховрино»;3 категория;Утвержден;11514.69;132074868100001;1;Polygon
10002299;ТПУ «МОССЕЛЬМАШ» района Западное Дегунино;4 категория;Утвержден;3209.86;132074876700001;1;Polygon
10002210;Верхнелихоборская улица;3 категория;Утвержден;26152.12;123328760500001;1;Polygon
10002241;Дегунинская улица;4 категория;Утвержден;21225.05;132074863300001;1;Polygon
10002185;Базовская улица;3 категория;Утвержден;28633.42;123340553900001;1;Polygon
754384317;улица Ивана Сусанина;4 категория;Утвержден;19225.232;125050344000001;1;Polygon
10002285;Коптевская улица;4 категория;Утвержден;37582.33;131515145500001;1;Polygon
10002288;Коптевский бульвар;4 категория;Утвержден;16118.05;131573029300001;1;Polygon
10002288;Коптевский бульвар;4 категория;Утвержден;16118.05;131573029300001;1;Polygon
10002288;Коптевский бульвар;4 категория;Утвержден;16118.05;131573029300001;1;Polygon
10002288;Коптевский бульвар;4 категория;Утвержден;16118.05;131573029300001;1;Polygon
10002288;Коптевский бульвар;4 категория;Утвержден;16118.05;131573029300001;1;Polygon
10002288;Коптевский бульвар;4 категория;Утвержден;16118.05;131573029300001;1;Polygon
10002550;Приорова ул.;4 категория;Утвержден;29105.06;131741880200001;1;Polygon
10002550;Приорова ул.;4 категория;Утвержден;29105.06;131741880200001;1;Polygon
10002550;Приорова ул.;4 категория;Утвержден;29105.06;131741880200001;1;Polygon
10002550;Приорова ул.;4 категория;Утвержден;29105.06;131741880200001;1;Polygon
10002367;8-й Новоподмосковный переулок;4 категория;Утвержден;8748.66;131605556000001;1;Polygon
10002367;8-й Новоподмосковный переулок;4 категория;Утвержден;8748.66;131605556000001;1;Polygon
10002342;Бульвар Матроса Железняка;4 категория;Утвержден;35340.7;132438537200001;1;Polygon
751086786;Территория у ст.м. «Беломорская»;4 категория;Утвержден;3617.77;132060216600001;1;Polygon
