source_list_queue,source_list_name,matched_id,matched_name,match_mode,match_score
3,Петрозаводская ул.,10002402,Петрозаводская улица,exact,1.0
3,Подъезд к ГАИ (Хорошевское ш.40),10002418,"Подъезд к ГАИ (Хорошевское шоссе, 40)",exact,1.0
3,Проезд Аэропорта,10002182,Проезд Аэропорта,exact,1.0
3,Проезд к МВД (Коптево),1030392802,Проезд к МВД (район Коптево),exact,1.0
3,Проезд от Комсомольской к ТП,10002455,Проезд от Комсомольской улице к ТП,fuzzy,0.889
3,Проезд от Кронштадтского бул. до церкви,10002440,Проезд от Кронштадтского бульвара до церкви (Кронштадтский бульвар вл.24к.1),fuzzy,0.889
3,Проезд от Левобережной до МКАД,10002457,Проезд от Левобережной улицы до МКАД,fuzzy,0.889
3,Проезд Ленинградское ш.—3-я Сестрорецкая,10002581,3-я Сестрорецкая улица,fuzzy,0.857
3,Проезд от Нарвской до Водного стадиона,,,unmatched,0.75
3,Проезд от Ходынского бул. к ЖК Лайнер,1325097032,Проезд от Ходынского бульвара к ЖК Лайнер,fuzzy,0.909
3,Проезд от Хорошевского ш. к ЖК Династия,1323200869,Проезд от Хорошевского ш. к ЖК Династия,exact,1.0
3,Проезд от Адмирала Макарова до ЛТП,10002526,Проезд от улицы Адмирала Макарова до ЛТП,fuzzy,0.909
3,Пяловская вл.3 (стоянка),12344846,"Пяловская ул., вл. 3, (автостоянка)",exact,1.0
3,Пяловская ул.,754382230,Пяловская улица,exact,1.0
3,ТПУ ЦСКА Жилищник Хорошевский,721910820,ТПУ ЦСКА Жилищник Хорошевский,exact,1.0
3,Территория вокруг Академии хорового искусства,757152892,Территория проезда вокруг Академии хорового искусства имени В.С. Попова,fuzzy,0.783
3,Территория у метро Полежаевская,1320389092,Территория у станции метро Полежаевская (пп №5488),fuzzy,0.889
3,Тротуар вдоль Головинских прудов,10002607,Тротуар вдоль Головинских прудов,exact,1.0
3,Улица Верещагина,10002214,Улица Верещагина,exact,1.0
3,Улица Дубки,10002255,Улица Дубки,exact,1.0
3,Улица Маргелова,10002663,Улица Маргелова (пр. №6367),exact,1.0
3,Улица Маршала Федоренко,10002613,Улица Маршала Федоренко,exact,1.0
3,Часовая ул.,10002634,Часовая улица,exact,1.0
3,боковой проезд Ленинградское ш.64-88,10002441,"боковой проезд Ленинградское ш.,64-88",exact,1.0
3,местный проезд к Ледовому дворцу,10002649,местный проезд к Ледовому дворцу,exact,1.0
3,проезд Черепановых,10002635,проезд Черепановых,exact,1.0
3,ул. Зои и Александра Космодемьянских,123454100,улица Зои и Александра Космодемьянских,exact,1.0
3,ул. Клары Цеткин,10002631,улица Клары Цеткин,exact,1.0
3,ул. Лихоборские Бугры,754779882,улица Лихоборские Бугры,exact,1.0
