id;name;queue;assignment_basis;source_list_name
10002287;Малый Коптевский проезд;2;остаток после 1-й и 3-й очередей;
10002289;Коровинский проезд;1;точное наименование;Коровинский пр.
10002291;Улица Костякова;2;остаток после 1-й и 3-й очередей;
10002292;Кочновский проезд;2;остаток после 1-й и 3-й очередей;
10002293;улица Крамского;2;остаток после 1-й и 3-й очередей;
10002294;Красноармейская улица;2;остаток после 1-й и 3-й очередей;
10002295;1-й Красноармейский переулок;3;точное наименование;1-й Красноармейский пер.
10002297;Красностуденческий проезд;3;точное наименование;Красностуденческий пр.
10002301;Улица Куусинена;2;остаток после 1-й и 3-й очередей;
10002302;улица Лавочкина;2;остаток после 1-й и 3-й очередей;
10002303;улица Левитана;2;остаток после 1-й и 3-й очередей;
10002304;Левобережная улица;1;точное наименование;Левобережная ул.
10002305;Летняя аллея;2;остаток после 1-й и 3-й очередей;
10002306;Линейный проезд;2;остаток после 1-й и 3-й очередей;
10002307;улица Линии Октябрьской Железной Дороги;2;остаток после 1-й и 3-й очередей;
10002308;Липовая аллея;2;остаток после 1-й и 3-й очередей;
10002309;Лиственничная аллея;2;остаток после 1-й и 3-й очередей;
10002310;1-й Лихачёвский переулок;3;точное наименование;1-й Лихачёвский пер.
10002311;2-й Лихачевский переулок;2;остаток после 1-й и 3-й очередей;
10002312;3-й Лихачевский переулок;2;остаток после 1-й и 3-й очередей;
10002316;Лихоборская набережная от Онежской улицы до 4-го Лихачевского переулка;2;остаток после 1-й и 3-й очередей;
10002318;1-й Нижнелихоборский проезд;2;остаток после 1-й и 3-й очередей;
10002320;Лобненская улица;1;ручная адресная сверка;Лобненская ул.
10002321;Локомотивный проезд;2;остаток после 1-й и 3-й очередей;
10002322;Локомотивный проезд от ЛОЖД до границ Восточного Дегунино;2;остаток после 1-й и 3-й очередей;
10002323;Лужская улица;2;остаток после 1-й и 3-й очередей;
10002326;3-я Магистральная улица (от 4-й Магистральной);2;остаток после 1-й и 3-й очередей;
10002327;4-я Магистральная улица;2;остаток после 1-й и 3-й очередей;
10002328;5-я Магистральная улица;1;точное наименование;5-я Магистральная ул.
10002330;1-й Магистральный проезд;2;остаток после 1-й и 3-й очередей;
10002331;2-й Магистральный проезд;3;точное наименование;2-й Магистральный пр.
10002333;2-й Магистральный тупик;2;остаток после 1-й и 3-й очередей;
10002334;улица Адмирала Макарова;1;точное наименование;ул. Адмирала Макарова
10002336;1-я улица 8 Марта;2;остаток после 1-й и 3-й очередей;
10002337;4-я улица 8 Марта;2;остаток после 1-й и 3-й очередей;
10002338;улица Верхняя Масловка;2;остаток после 1-й и 3-й очередей;
10002339;1-й Нижнемасловский переулок;2;остаток после 1-й и 3-й очередей;
10002340;2-й Нижнемасловский переулок;2;остаток после 1-й и 3-й очередей;
10002343;Мелькисаровская улица;2;остаток после 1-й и 3-й очередей;
10002344;Местный проезд у издательства «Красная звезда»;2;остаток после 1-й и 3-й очередей;
10002345;Милицейский переулок;2;остаток после 1-й и 3-й очередей;
10002346;Мирской переулок;2;остаток после 1-й и 3-й очередей;
10002349;3-й Михалковский переулок;2;остаток после 1-й и 3-й очередей;
10002350;Мишин проезд;2;остаток после 1-й и 3-й очередей;
10002351;Мишина улица;2;остаток после 1-й и 3-й очередей;
10002352;Молжаниновская улица;1;точное наименование;Молжаниновская ул.
10002353;улица 800-летия Москвы;1;ручная адресная сверка;ул. 800-летия Москвы
10002354;Московская аллея;2;остаток после 1-й и 3-й очередей;
10002355;Новомихалковский 1-й проезд;2;остаток после 1-й и 3-й очередей;
10002356;3-й Новомихалковский проезд;3;точное наименование;3-й Новомихалковский пр.
10002357;Новомихалковский 4-й проезд;3;точное наименование;Новомихалковский 4-й пр.
10002360;Новопетровская улица;2;остаток после 1-й и 3-й очередей;
10002361;1-й Новоподмосковный переулок;2;остаток после 1-й и 3-й очередей;
10002362;2-й Новоподмосковный переулок;2;остаток после 1-й и 3-й очередей;
10002363;3-й Новоподмосковный переулок;2;остаток после 1-й и 3-й очередей;
10002364;4-й Новоподмосковный переулок;3;точное наименование;4-й Новоподмосковный пер.
10002365;5-й Новоподмосковный переулок;2;остаток после 1-й и 3-й очередей;
10002366;6-й Новоподмосковный переулок;2;остаток после 1-й и 3-й очередей;
10002368;Нарвская улица (Головинский район);2;остаток после 1-й и 3-й очередей;
10002369;Улица Новая Ипатовка;2;остаток после 1-й и 3-й очередей;
10002370;Проезд от ул. Правды до ул. Правды д. 1-2 (Наркомфиновский переулок);2;остаток после 1-й и 3-й очередей;
10002371;Нарышкинская аллея;2;остаток после 1-й и 3-й очередей;
10002372;ул. Немчинова;2;остаток после 1-й и 3-й очередей;
10002373;Улица Пилота Нестерова;2;остаток после 1-й и 3-й очередей;
10002375;улица НИКФИ;2;остаток после 1-й и 3-й очередей;
10002376;1-я улица Новосёлки;1;точное наименование;1-я ул. Новосёлки
10002377;2-я улица Новосёлки;2;остаток после 1-й и 3-й очередей;
10002378;3-я улица Новосёлки;2;остаток после 1-й и 3-й очередей;
10002379;4-я улица Новосёлки;2;остаток после 1-й и 3-й очередей;
10002380;Новосходненское шоссе;2;остаток после 1-й и 3-й очередей;
10002382;Улица Острякова;2;остаток после 1-й и 3-й очередей;
10002383;Охтинская улица;1;точное наименование;Охтинская ул.
10002384;Охтинский проезд;1;точное наименование;Охтинский пр.
10002385;Петровско-Разумовская аллея;2;остаток после 1-й и 3-й очередей;
10002387;Петровско-Разумовский пр.;2;остаток после 1-й и 3-й очередей;
10002389;Противопожарные проезды по Лужской улице;2;остаток после 1-й и 3-й очередей;
10002391;Пакгаузное шоссе;3;точное наименование;Пакгаузное ш.
10002393;Пасечная улица;1;точное наименование;Пасечная ул.
10002394;Песчаная площадь;2;остаток после 1-й и 3-й очередей;
10002396;улица Луиджи Лонго;2;остаток после 1-й и 3-й очередей;
10002398;3-я Песчаная улица;3;точное наименование;3-я Песчаная ул.
10002400;Малый Песчаный переулок;3;точное наименование;Малый Песчаный пер.
10002401;Песчаный переулок;2;остаток после 1-й и 3-й очередей;
10002402;Петрозаводская улица;3;точное наименование;Петрозаводская ул.
10002404;Писцовая улица;2;остаток после 1-й и 3-й очередей;
10002405;Проезд от Дмитровского шоссе до Селигерской улицы до д.18к.1;2;остаток после 1-й и 3-й очередей;
10002407;площадь Космонавта Комарова;2;остаток после 1-й и 3-й очередей;
10002413;Площадка под автостоянку от Ленинградского шоссе, 112-1 к.1 до Ленинградского шоссе, 112-1 к.4;2;остаток после 1-й и 3-й очередей;
10002415;1-я Подрезковская улица;3;точное наименование;1-я Подрезковская ул.
10002416;2-я Подрезковская улица;3;точное наименование;2-я Подрезковская ул.
10002417;3-я Подрезковская улица;2;остаток после 1-й и 3-й очередей;
10002418;Подъезд к ГАИ (Хорошевское шоссе, 40);3;точное наименование;Подъезд к ГАИ (Хорошевское ш.40)
10002421;Подъезд к пл. «НАТИ» от Верхнелихоборской улицы;2;остаток после 1-й и 3-й очередей;
10002422;Подъезд к Химкинскому кладбищу;2;остаток после 1-й и 3-й очередей;
10002424;Проезд от улицы Прянишникова до дома 19Ас.29;2;остаток после 1-й и 3-й очередей;
10002426;Подъезд к кинотеатру «Рассвет»;2;остаток после 1-й и 3-й очередей;
10002427;Подъезд к кинотеатру «Волга»;2;остаток после 1-й и 3-й очередей;
10002428;Подъезд к кинотеатру «Комсомолец»;2;остаток после 1-й и 3-й очередей;
10002430;Подъезд к поселку Мелькисарово;2;остаток после 1-й и 3-й очередей;
