id,name,fragments,lon,lat,historical_queue,evidence,confidence
10002169,улица Авиаконструктора Микояна,1,37.53392354590652,55.79080383621212,,,
10002185,Базовская улица,1,37.51240129575319,55.8784380089132,,,
10002194,Беговая аллея,1,37.56259952782405,55.78193081002822,,,
10002198,Бескудниковский бульвар,2,37.54875993269845,55.87037542880083,,,
10002199,Бескудниковский переулок,1,37.55714614179254,55.86358787695971,,,
10002201,Библиотечный проезд,1,37.48283909501997,55.88076144921634,,,
10002203,1-й Боткинский проезд,1,37.55847084774485,55.78461810065548,,,
10002204,2-й Боткинский проезд (Бориса Петровского),1,37.55173567463343,55.781868870560245,,,
10002210,Верхнелихоборская улица,1,37.56099482543485,55.853136115497655,,,
10002221,1-й Войковский проезд,1,37.495782017853486,55.81549955397166,,,
10002225,5-й Войковский проезд,1,37.48796784405279,55.817949172527555,,,
10002227,Улица Космонавта Волкова,1,37.51282495683907,55.81572820995265,,,
10002232,Вятская улица,1,37.58191825773433,55.799970988186345,,,
10002241,Дегунинская улица,1,37.53374888708786,55.86749709970637,,,
10002242,Дегунинский проезд,1,37.57054598667213,55.864715150802716,,,
10002256,Дубнинская улица,3,37.555426962469376,55.8850431974872,,,
10002275,2-я Квесисская улица,3,37.57874196692274,55.795202288167154,,,
10002278,Клинская улица,1,37.49867366519352,55.86822948845527,,,
10002280,улица Софьи Ковалевской,2,37.535373888059354,55.88717518157932,,,
10002285,Коптевская улица,1,37.52046527529898,55.83362274814205,,,
10002288,Коптевский бульвар,6,37.52480070105833,55.831785976698974,,,
10002290,Коровинское шоссе,1,37.5265517939239,55.8769831245945,,,
10002298,Кронштадтский бульвар,1,37.501378933440435,55.845726032382004,,,
10002299,ТПУ «МОССЕЛЬМАШ» района Западное Дегунино,1,37.528374367140145,55.86368569692097,,,
10002300,Автобусный круг у пл. «Ховрино»,1,37.511582089747826,55.87017150611231,,,
10002324,улица Ляпидевского,1,37.49608364395139,55.85663550618933,,,
10002325,1-я Магистральная улица,2,37.52808169126861,55.7685907785201,,,
10002329,Магистральный переулок,1,37.52284626449552,55.77346506969689,,,
10002332,1-й Магистральный тупик,2,37.527983491928524,55.76662052256626,,,
10002342,Бульвар Матроса Железняка,1,37.527647421830764,55.83181877125464,,,
10002347,Михалковская улица,2,37.523074444403406,55.83882904254792,,,
10002348,Михалковский путепровод,1,37.5233253863385,55.840200802187546,,,
10002359,Новопесчаная улица,2,37.510856217569895,55.795723681819055,,,
10002367,8-й Новоподмосковный переулок,2,37.523690160687714,55.824491514896295,,,
10002374,Нижняя улица,1,37.578370787706696,55.777264528178286,,,
10002381,Онежская улица,1,37.51609609508739,55.853507394601465,,,
10002386,Старый Петровско-Разумовский проезд,3,37.56169798780555,55.80065875568863,,,
10002395,Песчаная улица,1,37.51225800457496,55.80228970127234,,,
10002397,2-я Песчаная улица,1,37.51627774016278,55.79576856173376,,,
10002399,улица Сальвадора Альенде,1,37.507331701991504,55.79524412804638,,,
10002406,Петровский парк,1,37.558027822520664,55.790085626803936,,,
10002411,Планетная улица,1,37.546874288465915,55.80206385480305,,,
10002414,Транспортно-пересадочный узел (ТПУ) у станции метро «Водный стадион» (Площадь у станции метро «Водный стадион»),1,37.487479287113786,55.84039825076876,,,
10002434,"Подъезд к префектуре (Тимирязевская ул., д. 27)",1,37.56258117559392,55.816741042619036,,,
10002438,Поликарпова улица,2,37.54808577766392,55.77967077791769,,,
10002448,Пр-д под Краснопресненским п/п,1,37.55509706200085,55.77455021510665,,,
10002459,"Проезд от Ленинградского шоссе к университету Синергия (Ленинградский просп., 80Г)",1,37.507641412389994,55.81092922924302,,,
10002462,Бусиновский проезд (развязка МКАД 79 км),1,37.50308965875737,55.88845891572449,,,
10002485,Проезд от Бескудниковского бульвара до Дубнинской улицы у школы №183,1,37.556157022033354,55.873468762370656,,,
10002487,Проезд от Бескудниковского бульвара до проезда у торгового центра,1,37.563274441630526,55.86177243277674,,,
10002501,Проезд от Коровинского шоссе и разворотный круг у ТЭЦ-21,1,37.51416504633018,55.89280943250643,,,
10002540,Веры Волошиной улица,1,37.51939386917577,55.780225586359236,,,
10002546,Правды ул.,1,37.579967962159,55.78669316352683,,,
10002550,Приорова ул.,4,37.52237445176893,55.82262585299232,,,
10002554,Улица Зарянова,1,37.563345714175576,55.87487250645599,,,
10002556,4-й Ходынский проезд,1,37.52013178452432,55.78976005480736,,,
10002568,Расковой улица,1,37.57279461528166,55.787757879933416,,,
10002577,улица Серегина,2,37.550612649153834,55.79634204434784,,,
10002587,Смольная улица,3,37.48402691537333,55.85994674169862,,,
10002592,Старопетровский проезд,1,37.504838717119604,55.823869247793986,,,
10002601,Талдомская улица,9,37.51782589417769,55.87031071457605,,,
10002602,Театральная аллея,1,37.55817708418506,55.79223599712356,,,
10002604,Территория перед ст.метро «Петровско-Разумовская»,1,37.57552202077267,55.83684346386254,,,
10002605,Тимирязевская улица,1,37.562434917814606,55.81871297379544,,,
10002614,Фестивальная улица,3,37.497465801061885,55.860992230404996,,,
10002615,Флотская улица,2,37.50366657964921,55.85630969179819,,,
10002619,2-й Хорошевский проезд,1,37.53309311214322,55.77465592643943,,,
10002622,Хорошевское шоссе,1,37.525753555575434,55.77668895887915,,,
10002624,2-я Хуторская улица,2,37.57169207206928,55.80563027815893,,,
10002629,Улица Константина Царева,1,37.49485287686326,55.81278072129384,,,
10002633,Чапаевский переулок,1,37.519354279651445,55.799516970743255,,,
10002644,1-я улица Ямского Поля,1,37.58373063640029,55.78159668261563,,,
10002645,3-я улица Ямского Поля,2,37.578969527174536,55.783165678967364,,,
10002646,5-я улица Ямского Поля,2,37.580998802769805,55.78728365775065,,,
10002650,Путепровод через Дмитровское шоссе,1,37.57999033276903,55.80970676766255,,,
10002664,Проектируемый проезд №6368,1,37.5450621924034,55.78035707414225,,,
10002667,улица Авиаконструктора Сухого,1,37.54083474674392,55.785341768752794,,,
1017816137,ТПУ Окружная,1,37.5735045971882,55.84780987862438,,,
12344925,"Ленинградский пр-т, д.76А (тыльная сторона ТЦ Метромаркет)",1,37.51554195488559,55.805809139855874,,,
12345393,ТПУ Балтийская Жилищник Войковский,6,37.49843751609169,55.82088914167074,,,
314890525,ТПУ «Моссельмаш» (Головинский район),1,37.52393071400839,55.86197489764904,,,
314892354,ТПУ Беговая АВД САО,3,37.547861515295125,55.77392689740369,,,
314902859,ТПУ «Аэропорт» (Хорошевский район),2,37.530142634000995,55.800212686646546,,,
314903749,ТПУ «Аэропорт» (район Аэропорт),1,37.531788043456906,55.801455241382925,,,
666849395,ТПУ Балтийская АвД САО,5,37.500321100807085,55.81829639756766,,,
701406660,ТПУ «Хорошево»,1,37.50757677296184,55.7776553636689,,,
749196409,Проезд от улицы Лавочкина к дому 23А,1,37.48511285298215,55.863604708453515,,,
751086786,Территория у ст.м. «Беломорская»,2,37.4745800808208,55.86478817272139,,,
753906080,Керамический проезд,1,37.56637400168812,55.88222603963721,,,
754384317,улица Ивана Сусанина,1,37.52673501479749,55.86950669139403,,,
754431382,Разворотный круг троллейбусов у метро «Сокол»,1,37.513493640049596,55.80345571131307,,,
757159046,ТПУ Речной вокзал АвД САО,4,37.47566371745282,55.85580722515227,,,
800905601,ТПУ Ховрино АВД САО,1,37.480859112991304,55.87843465851888,,,
811643235,Территория у станции метро Хорошевская,3,37.5208396293333,55.77729018395548,,,
marker-wave1-53,Площадка у платформы «Бескудниково» и пешеходная дорожка к Керамическому проезду,1,37.568,55.8817,,,
marker-wave1-68,ТПУ Речной вокзал Жилищник Левобережный,1,37.476812,55.8548129,,,
marker-wave1-91,ТПУ ЦСКА,1,37.5379,55.787,,,
